Selectivity (%),Kernel (ms),Total (ms),Overhead (%),Thread Util (%),Wasted Threads (%),Bandwidth (GB/s),Err (cents),Err/Row (cents)
0.23,1.383,1.957,29.3,0.2,99.8,69.78,99,0.007161
0.548,1.432,2.013,28.8,0.5,99.5,67.38,243,0.007364
0.763,1.398,1.956,28.6,0.8,99.2,69.05,323,0.007032
1.011,1.431,1.997,28.4,1.0,99.0,67.44,482,0.007916
1.246,1.453,2.03,28.4,1.2,98.8,66.4,554,0.007387
1.524,1.507,2.06,26.8,1.5,98.5,64.02,718,0.007824
1.76,1.542,2.084,26.0,1.8,98.2,62.58,829,0.007823
2.056,1.581,2.128,25.7,2.1,97.9,61.05,1007,0.008136
2.29,1.606,2.156,25.5,2.3,97.7,60.11,1123,0.008148
2.528,1.644,2.183,24.7,2.5,97.5,58.69,1234,0.008108
