operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,100000,0.825937,0.003958,0.003489,1.4094,1.21075e+10,48.4298,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,100000,0.82375,0.00776,0.003177,6.6679,1.21396e+10,145.724,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,100000,1.70953,0,0.01276,2.6741,5.84956e+09,70.3775,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,100000,0.844479,0,0.004583,1.2289,1.18416e+10,189.466,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,0,0.78677,0.003697,0.003333,1.1474,1.27102e+10,50.8408,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,0,0.832604,0.003229,0.002656,1.0851,1.20105e+10,144.174,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,0,1.75167,0,0.010729,2.4575,5.70885e+09,68.6846,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,0,0.839583,0,0.00453,1.2478,1.19107e+10,190.571,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,1,0.848125,0.00375,0.002916,1.3102,1.17907e+10,47.1629,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,1,0.929479,0.003593,0.002968,1.3918,1.07587e+10,129.148,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,1,1.70088,0,0.011562,2.2899,5.87929e+09,70.7352,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,1,0.88026,0,0.004374,1.3675,1.13603e+10,181.765,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,2,0.812708,0.00427,0.003072,1.1403,1.23045e+10,49.2182,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,2,0.789895,0.00375,0.002343,1.2018,1.26599e+10,151.97,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,2,1.71005,0,0.012812,2.4184,5.84778e+09,70.356,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,2,0.896197,0,0.004374,1.7002,1.11583e+10,178.532,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,3,0.758125,0.003854,0.002552,1.1872,1.31904e+10,52.7617,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,3,0.786666,0.003177,0.002604,1.3264,1.27119e+10,152.593,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,3,1.705,0,0.010625,2.4599,5.8651e+09,70.5645,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,3,0.844531,0,0.004687,1.3171,1.18409e+10,189.454,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,4,0.713645,0.003489,0.002447,1.0438,1.40126e+10,56.0503,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,4,0.802604,0.003541,0.002447,1.5218,1.24594e+10,149.563,1
