operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,100000,0.790625,0.003854,0.003229,1.4444,1.26482e+10,50.5929,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,100000,0.794635,0.008906,0.002708,3.4711,1.25844e+10,151.063,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,100000,1.68802,0,0.011406,2.6281,5.9241e+09,71.2743,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,100000,0.820677,0,0.00401,1.3607,1.21851e+10,194.961,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,0,0.790989,0.003541,0.002708,1.1726,1.26424e+10,50.5696,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,0,1.16724,0.003854,0.002447,1.5751,8.56723e+09,102.841,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,0,1.72135,0,0.01125,2.5353,5.80938e+09,69.8941,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,0,0.912656,0,0.004635,1.446,1.0957e+10,175.313,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,1,0.769687,0.003802,0.002656,1.2951,1.29923e+10,51.9692,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,1,0.828125,0.005781,0.002916,1.3841,1.20755e+10,144.954,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,1,2.38542,0,0.027968,3.1638,4.19214e+09,50.4367,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,1,0.871354,0,0.004479,1.291,1.14764e+10,183.622,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,2,0.831875,0.003437,0.002395,1.4367,1.2021e+10,48.0841,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,2,0.754687,0.00302,0.002447,1.0747,1.32505e+10,159.059,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,2,1.68802,0,0.010416,2.6843,5.9241e+09,71.2743,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,2,0.812916,0,0.004166,1.2013,1.23014e+10,196.822,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,3,0.708958,0.002916,0.002656,1.0905,1.41052e+10,56.4208,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,3,0.75401,0.003125,0.0025,1.065,1.32624e+10,159.202,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,3,1.67406,0,0.012291,2.4653,5.97349e+09,71.8686,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,3,0.813958,0,0.004426,1.2206,1.22856e+10,196.57,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,4,0.703489,0.002968,0.002395,1.2783,1.42149e+10,56.8595,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,4,0.86927,0.003385,0.002395,1.2903,1.15039e+10,138.093,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,4,1.83318,0,0.014062,2.5427,5.45501e+09,65.6306,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,4,0.898177,0,0.00427,1.3264,1.11337e+10,178.139,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,5,0.737916,0.00302,0.002552,1.3826,1.35517e+10,54.2067,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,5,0.866093,0.00302,0.002447,1.2822,1.15461e+10,138.599,1
