target_selectivity,cutoff_date,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,thread_utilization_percentage,wasted_threads_percentage,data_efficiency_percentage,useful_data_MB,total_data_MB,bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002559636,1998-10-26,0.002331357,0.297239000,0.306927000,0.321145000,0.848700000,0.541773000,63.835630965,0.006600000,0.000500000,0.233135733,99.766864267,0.233135733,0.045312000,19.435888000,63.447842647,101956936.408234388,101956940.299999997,27,0.000000038
0.005119272,1998-10-11,0.004672593,0.299947000,0.309322000,0.327395000,0.873200000,0.563878000,64.576042144,0.007400000,0.000600000,0.467259330,99.532740670,0.467259330,0.090816000,19.435888000,62.956582461,204136752.650687814,204136760.759999990,58,0.000000040
0.007678908,1992-01-21,0.007669112,0.299583000,0.314166000,0.338541000,0.849600000,0.535434000,63.021892655,0.007300000,0.000600000,0.766911190,99.233088810,0.766911190,0.149056000,19.435888000,61.985880076,335462969.860032797,335462983.310000002,73,0.000000040
0.010238544,1998-09-16,0.010164290,0.323750000,0.332916000,0.348645000,0.854200000,0.521284000,61.025989230,0.008200000,0.000600000,1.016428990,98.983571010,1.016428990,0.197552000,19.435888000,58.494803494,447722357.797259867,447722375.899999976,103,0.000000040
0.012798180,1992-02-05,0.012605135,0.318125000,0.330000000,0.354062000,0.843800000,0.513800000,60.891206447,0.010500000,0.000800000,1.260513541,98.739486459,1.260513541,0.244992000,19.435888000,59.011684848,554079136.595949173,554079158.360000014,118,0.000000039
0.015357816,1992-02-15,0.015312704,0.303281000,0.318958000,0.324947000,0.841900000,0.522942000,62.114502910,0.006400000,0.000500000,1.531270400,98.468729600,1.531270400,0.297616000,19.435888000,61.054609071,675397061.910920382,675397088.429999948,151,0.000000039
0.017917452,1992-02-25,0.017914901,0.316354000,0.327343000,0.340156000,0.855800000,0.528457000,61.750058425,0.007800000,0.000500000,1.791490052,98.208509948,1.791490052,0.348192000,19.435888000,59.490674919,788684755.564254999,788684786.590000033,170,0.000000039
0.020477089,1992-03-06,0.020100548,0.332812000,0.344062000,0.354635000,0.863800000,0.519738000,60.168789072,0.009600000,0.000700000,2.010054802,97.989945198,2.010054802,0.390672000,19.435888000,56.599845377,885604412.092007637,885604447.059999943,197,0.000000039
0.023036725,1992-03-27,0.022927483,0.346875000,0.371510000,0.381927000,0.897500000,0.525990000,58.606128134,0.007300000,0.000500000,2.292748343,97.707251657,2.292748343,0.445616000,19.435888000,52.418120643,1010222910.847547650,1010222951.080000043,253,0.000000040
0.025596361,1996-09-06,0.025596361,0.342291000,0.350729000,0.369270000,0.864800000,0.514071000,59.443917669,0.008100000,0.000700000,2.559636071,97.440363929,2.559636071,0.497488000,19.435888000,55.523940136,1127449493.250539303,1127449537.279999971,223,0.000000039
