# cpu_join_preprocessing_ms=36760.009,pre_joined_rows=6019629
target_selectivity,cutoff_date,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,cpu_join_preprocessing_ms,total_with_preprocessing_ms,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002500000,1998-10-24,15425,0.002562450,1.384166000,1.393593000,1.405989000,1.912200000,36760.008800000,36761.921000000,0.518607000,27.120960151,0.014400000,0.002700000,0.246800000,96.314064000,69.112046344,563012435.704323769,563012458.039999962,117,0.000000040
0.005000000,1998-10-09,29620,0.004920569,1.427291000,1.434010000,1.441562000,1.964700000,36760.008800000,36761.973500000,0.530690000,27.011248537,0.013700000,0.002700000,0.473920000,96.314064000,67.164150878,1078725528.990411282,1078725571.769999981,219,0.000000040
0.007500000,1998-09-27,44710,0.007427368,1.458541000,1.468958000,1.475260000,2.004700000,36760.008800000,36762.013500000,0.535742000,26.724297900,0.013400000,0.002700000,0.715360000,96.314064000,65.566247639,1627705593.574879408,1627705658.380000114,332,0.000000040
0.010000000,1998-09-16,60886,0.010114577,1.496979000,1.506979000,1.514427000,2.031500000,36760.008800000,36762.040300000,0.524521000,25.819394536,0.014000000,0.003300000,0.974176000,96.314064000,63.912014700,2212830037.311341763,2212830125.880000114,482,0.000000040
0.012500000,1998-09-07,76041,0.012632174,1.514531000,1.521041000,1.532500000,2.029100000,36760.008800000,36762.037900000,0.508059000,25.038637820,0.013800000,0.002800000,1.216656000,96.314064000,63.321149134,2762422662.003846169,2762422772.349999905,620,0.000000040
0.015000000,1998-08-30,90868,0.015095282,1.539583000,1.547812000,1.555885000,2.053100000,36760.008800000,36762.061900000,0.505288000,24.610978520,0.014400000,0.002700000,1.453888000,96.314064000,62.225944753,3297325665.589397907,3297325797.000000000,746,0.000000040
0.017500000,1998-08-23,104669,0.017387949,1.556458000,1.561510000,1.569427000,2.076000000,36760.008800000,36762.084800000,0.514490000,24.782755299,0.013900000,0.002700000,1.674704000,96.314064000,61.680081460,3795743321.157446384,3795743472.369999886,841,0.000000040
0.020000000,1998-08-16,119654,0.019877305,1.574479000,1.582968000,1.593958000,2.106100000,36760.008800000,36762.114900000,0.523132000,24.838896539,0.013400000,0.002700000,1.914464000,96.314064000,60.843974104,4340937450.849956512,4340937623.640000343,949,0.000000040
0.022500000,1998-08-09,136031,0.022597904,1.584583000,1.591041000,1.602031000,2.085900000,36760.008800000,36762.094700000,0.494859000,23.724004027,0.014300000,0.002700000,2.176496000,96.314064000,60.535249563,4935684389.911582947,4935684586.670000076,1071,0.000000040
0.025000000,1997-06-29,150491,0.025000046,1.594739000,1.603437000,1.615312000,2.034500000,36760.008800000,36762.043300000,0.431063000,21.187662816,0.013800000,0.002700000,2.407856000,96.314064000,60.067258021,5477862792.579679489,5477863006.949999809,1204,0.000000039
