# cpu_join_preprocessing_ms=7007.087,pre_joined_rows=1214743
target_selectivity,cutoff_date,matched_rows,achieved_selectivity,kernel_ms_min,kernel_ms_median,kernel_ms_max,total_execution_time_median,cpu_join_preprocessing_ms,total_with_preprocessing_ms,overhead_ms,overhead_percentage,gpu_to_cpu_transfer_in_ms,cpu_reduction_time_in_ms,useful_data_MB,total_data_MB,estimated_bandwidth_GB_per_sec,validation_cpu_result,validation_gpu_result,abs_err_cents,rel_err
0.002500000,1998-10-25,2973,0.002447431,0.281614000,0.284583000,0.290781000,0.795100000,7007.086800000,7007.881900000,0.510517000,64.207898378,0.006600000,0.000500000,0.047568000,19.435888000,68.296026115,107052418.960516781,107052423.060000002,28,0.000000038
0.005000000,1998-10-09,6117,0.005035633,0.292031000,0.295208000,0.306406000,0.811600000,7007.086800000,7007.898400000,0.516392000,63.626416954,0.006700000,0.000500000,0.097872000,19.435888000,65.837944771,219769894.878636658,219769903.590000004,58,0.000000040
0.007500000,1998-09-27,9152,0.007534104,0.300833000,0.310520000,0.316666000,0.815200000,7007.086800000,7007.902000000,0.504680000,61.908734053,0.007000000,0.000500000,0.146432000,19.435888000,62.591420842,331027403.905279398,331027417.029999971,78,0.000000040
0.010000000,1998-09-17,12034,0.009906622,0.307187000,0.317291000,0.324322000,0.810700000,7007.086800000,7007.897500000,0.493409000,60.862094486,0.008000000,0.000600000,0.192544000,19.435888000,61.255717937,436729064.373269081,436729082.009999990,98,0.000000040
0.012500000,1998-09-08,15106,0.012435552,0.313072000,0.318489000,0.326979000,0.829300000,7007.086800000,7007.916100000,0.510811000,61.595441939,0.006800000,0.000500000,0.241696000,19.435888000,61.025303857,546652629.248510003,546652651.340000033,128,0.000000040
0.015000000,1998-08-31,18067,0.014873105,0.316927000,0.320260000,0.334270000,0.819800000,7007.086800000,7007.906600000,0.499540000,60.934374238,0.007400000,0.000600000,0.289072000,19.435888000,60.687841129,654424326.690718889,654424353.129999995,150,0.000000040
0.017500000,1998-08-23,21233,0.017479417,0.321822000,0.326406000,0.334375000,0.825000000,7007.086800000,7007.911800000,0.498594000,60.435636364,0.007300000,0.000600000,0.339728000,19.435888000,59.545130911,769889561.137127638,769889592.070000052,180,0.000000040
0.020000000,1998-08-16,24224,0.019941667,0.326562000,0.335885000,0.343541000,0.836000000,7007.086800000,7007.922800000,0.500115000,59.822368421,0.007300000,0.000700000,0.387584000,19.435888000,57.864709648,877737208.956557870,877737244.049999952,210,0.000000040
0.022500000,1998-08-09,27545,0.022675578,0.328072000,0.336406000,0.341666000,0.817900000,7007.086800000,7007.904700000,0.481494000,58.869543954,0.006600000,0.000600000,0.440720000,19.435888000,57.775093191,999894611.890192628,999894652.090000033,243,0.000000040
0.025000000,1997-12-08,30368,0.024999527,0.328750000,0.334895000,0.344218000,0.768800000,7007.086800000,7007.855600000,0.433905000,56.439255983,0.007000000,0.000500000,0.485888000,19.435888000,58.035766434,1094688115.181717873,1094688158.480000019,210,0.000000040
