operator,variant,N,selectivity_target,selectivity_achieved,groups_G,skew,run_id,kernel_ms,h2d_ms,d2h_ms,end2end_ms,rows_per_s,eff_GBps,correct
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,100000,0.826458,0.004218,0.003697,1.2383,1.20998e+10,48.3993,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,100000,0.849583,0.003489,0.003541,8.5193,1.17705e+10,141.293,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,100000,1.74359,0,0.011927,2.7143,5.73528e+09,69.0026,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,100000,0.84875,0,0.005208,1.3619,1.1782e+10,188.513,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,0,0.808854,0.003697,0.003489,1.2456,1.23632e+10,49.4527,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,0,0.783281,0.003958,0.003385,1.1634,1.27668e+10,153.253,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,0,1.7237,0,0.011927,2.4085,5.80148e+09,69.7991,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,0,0.968437,0,0.005624,1.5353,1.03259e+10,165.215,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,1,0.812187,0.004114,0.003125,1.2674,1.23124e+10,49.2497,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,1,0.891093,0.004218,0.003437,1.4317,1.12222e+10,134.711,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,1,1.76963,0,0.012395,2.5855,5.65088e+09,67.9872,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,1,0.835677,0,0.00526,1.2627,1.19663e+10,191.462,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,2,0.803645,0.00375,0.003281,1.1035,1.24433e+10,49.7732,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,2,0.832291,0.004427,0.002968,1.3051,1.2015e+10,144.228,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,2,1.74099,0,0.01125,2.5153,5.74386e+09,69.1058,1
groupby_sum_count,fixedpoint_atomics,10000000,0.001,0.0010001,8,uniform,2,0.923802,0,0.00552,1.3489,1.08248e+10,173.197,1
scan_filter_count,base,10000000,0.001,0.0010001,0,uniform,3,0.849791,0.004322,0.003177,1.1875,1.17676e+10,47.0704,1
projection_expr_compact,base,10000000,0.001,0.0010001,0,uniform,3,0.903385,0.004166,0.003281,1.3305,1.10695e+10,132.878,1
scalar_agg_sum,fixedpoint_reduce,10000000,0.001,0.0010001,0,uniform,3,1.77349,0,0.012552,2.4936,5.6386e+09,67.8394,1
